,title,jobFunction,industry
0,Full Stack PHP Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Marketing and Advertising']"
1,CISCO Collaboration Specialist Engineer,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
2,Senior Back End-PHP Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Computer Networking']"
3,UX Designer,"['Creative/Design/Art', 'IT/Software Development']","['Computer Software', 'Information Technology Services', 'Computer Games']"
4,Java Technical Lead,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Information Technology Services']"
5,Technical Support Engineer,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Customer Service/Support']","['Information Technology Services', 'Computer Software']"
6,Senior iOS Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Graphic Design', 'Computer Software']"
7,Mechanical Engineer,['Engineering - Mechanical/Electrical'],"['Architectural and Design Services', 'Engineering Services', 'Construction - Residential & Commercial/Office']"
8,Real Estate Sales Specialist - 10th of Ramadan,['Sales/Retail'],['Real Estate/Property Management']
9,School Principal,"['Education/Teaching', 'Administration', 'Operations/Management']",['Education']
10,Senior Sales Representative,"['Sales/Retail', 'Marketing/PR/Advertising', 'Media/Journalism/Publishing']",['Marketing and Advertising']
11,Accountant,['Accounting/Finance'],['Education']
12,Indoor Sales Executive,"['Sales/Retail', 'Creative/Design/Art']","['Architectural and Design Services', 'Manufacturing', 'Furniture']"
13,PHP Full-Stack - Joomla Expert,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
14,English Teacher Assistant,['Education/Teaching'],['Education']
15,Marketing Coordinator,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising']",['Marketing and Advertising']
16,Senior Business Developer,"['Marketing/PR/Advertising', 'Sales/Retail']","['Marketing and Advertising', 'Computer Software', 'Public Relations and Communications']"
17,Senior Website Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Insurance', 'Computer Software']"
18,Chief Accountant,['Accounting/Finance'],['Education']
19,Senior Front-End Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Internet/E-commerce', 'Computer Software']"
20,Sales Account Manager - Google Cloud,"['IT/Software Development', 'Sales/Retail', 'Engineering - Telecom/Technology']","['Computer Software', 'Information Technology Services']"
21,Senior Back-End Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Education']
22,Video Editor,"['Creative/Design/Art', 'Media/Journalism/Publishing']",['Marketing and Advertising']
23,Digital Marketing Specialist,['Marketing/PR/Advertising'],['Marketing and Advertising']
24,Mechanical Technical Office Engineer,['Engineering - Mechanical/Electrical'],"['Architectural and Design Services', 'Construction - Residential & Commercial/Office']"
25,Sales Engineer,"['IT/Software Development', 'Sales/Retail']","['Information Technology Services', 'Consulting Services', 'Financial Services']"
26,German Teacher - American School,['Education/Teaching'],['Education']
27,Personal Assistant,['Administration'],"['Real Estate/Property Management', 'Business Supplies and Equipment', 'Furniture']"
28,Sales Account Manager,['Sales/Retail'],"['Logistics and Supply Chain', 'Translation and Localization', 'Information Technology Services']"
29,Sales Coordinator/Telesales,"['Administration', 'Operations/Management', 'Sales/Retail']",['Information Technology Services']
30,Computer Programming Instructor,"['Training/Instructor', 'Education/Teaching']",['Education']
31,R&D Chemist Supervisor,['R&D/Science'],"['Chemicals', 'Manufacturing']"
32,ODOO Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Internet/E-commerce', 'Information Technology Services', 'Computer Software']"
33,Purchasing and Logistics Specialist,"['Logistics/Supply Chain', 'Purchasing/Procurement']","['Computer Networking', 'Computer and Network Security', 'Information Technology Services']"
